,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,Total,Acc,MAE,Weighted_kappa,ave_mae,std_mae,mean,std,icc
0,9.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,12.0,0.75,4.583333333333333,0.4859120118635689,8.125,8.153795128650216,-4.75,10.485108487755385,0.73
5,14.0,4.0,,1.0,,,,,,,,,,,,,,,,,,19.0,0.21052631578947367,4.2105263157894735,,,,,,
10,6.0,4.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,16.0,0.125,8.4375,,,,,,
15,,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,6.0,0.16666666666666666,5.833333333333333,,,,,,
20,4.0,2.0,,2.0,1.0,,,,,,,,,,,,,,,,,9.0,0.1111111111111111,13.333333333333334,,,,,,
25,1.0,2.0,1.0,1.0,,3.0,1.0,,,,,,,,,,,,,,,9.0,0.3333333333333333,10.555555555555555,,,,,,
30,,,,1.0,,,,,,,,,,,,,,,,,,1.0,0.0,15.0,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,1.0,,,,,,,,,,,,,,,,1.0,0.0,15.0,,,,,,
45,,,,,,,,,,,1.0,,,,,,,,,,,1.0,0.0,5.0,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,2.0,,,,1.0,1.0,,,,,,,,,4.0,0.25,11.25,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,1.0,,,,,,,,,,,,1.0,0.0,20.0,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,1.0,,,,,,,,,,,,1.0,0.0,30.0,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
